tweet_id,sentiment,author,content
1956967666,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,sadness,coolfunky,Funeral ceremony...gloomy friday...
1956968487,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956969035,sadness,nic0lepaula,@charviray Charlene my love. I miss you
1956969172,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?
1956970047,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860,surprise,okiepeanut93,Got the news
1956971077,sadness,Sim_34,The storm is here and the electricity is gone
1956971170,trust,poppygallico,@annarosekerr agreed
1956971206,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.
1956971586,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956972359,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972557,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956973598,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956974706,anger,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!
1956987600,anger,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956989093,trust,Angela_Grace,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
1956989601,anger,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956990288,anger,MissPassion,@mrgenius23 You win ... SIGH Rakeem
1956991009,anger,rdyfrde,"@soviet_star Damn, that sucks"
1956991704,anger,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956996081,anger,snursalim,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
1956996385,trust,votech,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
1956996673,anger,Merekdavis,@britblackbird  youstinkatrespondingtotexts!
1956998370,trust,rockinchick11,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1957002773,trust,UncoolRockstar,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
1957004749,anger,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
1957005410,surprise,HIM357,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
1957008434,surprise,Just_Cath,@Bern_morley where are you? In Bris? I can't hear any thunder
1957008478,surprise,bekahjayne,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
1957008766,surprise,shutitoff,I had a dream about a pretty pretty beach and there was no beach when I woke up
1957008987,surprise,lilTanker,when da heck will the garage man get here I ask you.. WHEN..
1957009666,anger,wendyisastar,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957013166,anger,jupzchris,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
1957013723,anger,babygurl0791,would wish the severe migrains would stop!!! doc's prescriptions arent working
1957013804,trust,jammmaster1021,@bobbyedner i missed the game
1957013895,anger,kkjordan,@tiffalo cuz airlines are super lame.
1957014493,anger,Taynted_lyfe,I'm so very tired...and have insomnia.
1957014706,anger,butteredninja,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
1957016086,surprise,chrisshennan,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
1957021321,surprise,FoOie,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
1957021486,anger,karissaferg,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1957022799,surprise,dan11ela,@FoxxFiles aw u can't let me in on the secret!
1957023061,surprise,MissxMarisa,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
1957023263,anger,youulovemee,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
1957023739,anger,Tin06,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
1957028656,surprise,Fairywinds,is thinking so much and i'm at work
1957029634,surprise,maddy_1212,my gap year is going so quick
1957030622,anger,sharnanicole,@lanacaitlin  hahaha well its try its so ugly
1957032114,surprise,johnnypurple,@qi_tah oh no.  *hugs*
1957033874,anger,Lilixbabi3,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
1957034289,anger,kimba1bl,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
1957035950,anger,geezitslouize,my roommate @tess_tickle loves to ignore me
1957038470,anger,No1PanicFan,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
1957041812,anger,MissxMarisa,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
1957044935,anger,helenmurdock,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
1957048703,anger,JBMareMareJB,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
1957050633,anger,STAR13R,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
1957053338,surprise,savindotme,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
1957055530,anger,TK04,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
1957058130,surprise,iamQuest,@heavenjones ur supposed to be in BK tho
1957058436,surprise,Miiiiich,Oh no!  Nighty night.
1957059587,trust,Pretty_Edgie,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
1957061884,anger,caitimac,@all_is_one84 Those suck so bad.
1957062698,trust,ShirleyValverde,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
1957063783,anger,Craz_Monkay21,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
